Mad Max: Fury Road, 22/05/2015,4,Action,George Miller,http://www.imdb.com/title/tt1392190/
Bande de filles,22/05/2015,3,Drama,Céline Sciamma,http://www.imdb.com/title/tt3655522/
Snowpiercer,22/05/2015,2,Action,Joon-ho Bong,http://www.imdb.com/title/tt1706620/
Das wilde Leben,22/05/2015,2,Biography,Achim Bornhak,http://www.imdb.com/title/tt0764639/
Tomorrowland,23/05/2015,3,Adventure,Brad Bird,http://www.imdb.com/title/tt1964418/
Ex Machina, 25/05/2015,4,Sci-Fi,Alex Garland,http://www.imdb.com/title/tt0470752/
The Gambler,25/05/2015,2,Drama,Rupert Wyatt,http://www.imdb.com/title/tt2039393/
Good Ol' Freda,29/05/2015,2,Biography,Ryan White,http://www.imdb.com/title/tt2505938/
Easy Money II: Hard to Kill,29/05/2015,3,Crime,Babak Najafi,http://www.imdb.com/title/tt1588342/
The Great Gatsby,4/6/2015,3,Drama,Baz Luhrmann,http://www.imdb.com/title/tt1343092/
Rome,5/6/2015,3,Drama,"William J. MacDonald, John Milius",http://www.imdb.com/title/tt0384766/
Jurassic World,12/6/2015,3,Action,Colin Trevorrow,http://www.imdb.com/title/tt0369610/
Pimp,12/6/2015,1,Thriller,Robert Cavanah,http://www.imdb.com/title/tt1460643/
A Good Day to Die Hard, 13/06/2015,2,Action,John Moore,http://www.imdb.com/title/tt1606378/
Austin to Boston,14/06/2015,3,Documentary,James Marcus Haney,http://www.imdb.com/title/tt3722248/
Palo Alto,19/06/2015,2,Drama,Gia Coppola,http://www.imdb.com/title/tt2479800/
Private Parts,30/06/2015,2,Biography,Betty Thomas,http://www.imdb.com/title/tt0119951/
Black Rock,1/7/2015,1,Horror,Katie Aselton,http://www.imdb.com/title/tt1930294/
Deadfall,3/7/2015,2,Drama,Stefan Ruzowitzky,http://www.imdb.com/title/tt1667310/
The Prince,4/7/2015,2,Action,Brian A Miller,http://www.imdb.com/title/tt1085492/
Hector and the Search for Happiness,16/07/2015,3,Comedy,Peter Chelsom,http://www.imdb.com/title/tt1626146/
Joy Division,17/07/2015,2,Drama,Reg Traviss,http://www.imdb.com/title/tt0462373/
American Grindhouse,18/07/2015,3,Documentary,Elijah Drenner,http://www.imdb.com/title/tt1307861/
Ghost Blues: The Story of Rory Gallagher,18/07/2015,3,Documentary,Ian Thuillier,http://www.imdb.com/title/tt4190952/
The 100-Year-Old Man Who Climbed Out the Window and Disappeared,23/07/2015,3,Comedy,Felix Herngren,http://www.imdb.com/title/tt2113681/
Pacific Rim,26/07/2015,3,Action,Guillermo del Toro,http://www.imdb.com/title/tt1663662/
